year,treatment,full.treatment.name,plot,quadrat,Herbaceous biomass,Herbaceous litter,Fine woody debris,Mixed species,Phalaris arundinacea,Humulus japonicus
2022,D,Acorn,1,Q1,354.8888889,306.6666667,0,336.6666667,0.222222222,18
2022,D,Acorn,1,Q2,46.22222222,465,22.22222222,16.11111111,24,6.111111111
2022,D,Acorn,1,Q3,106.7777778,261.7777778,88.88888889,106.7777778,0,0
2022,D,Acorn,1,Q4,123,196.3333333,0,123,0,0
2022,D,Acorn,1,Q5,91.77777778,543.7777778,0,91.77777778,0,0
2022,D,Acorn,2,Q1,261.4444444,706,0,0,0,261.4444444
2022,D,Acorn,2,Q2,85.77777778,274.4444444,0,0,0,85.77777778
2022,D,Acorn,2,Q3,312.4444444,580.5555556,0,0,33.44444444,279
2022,D,Acorn,2,Q4,72.33333333,305.8888889,0,51.33333333,0,21
2022,D,Acorn,2,Q5,143,813.6666667,113.4444444,128.3333333,0,14.66666667
2022,D,Acorn,3,Q1,69.33333333,924.1111111,0,2.222222222,67.11111111,0
2022,D,Acorn,3,Q2,0,955.1111111,58.11111111,0,0,0
2022,D,Acorn,3,Q3,3.333333333,930.8888889,23.44444444,3.333333333,0,0
2022,D,Acorn,3,Q4,0,771.5555556,62.44444444,0,0,0
2022,D,Acorn,3,Q5,0,957.8888889,15.55555556,0,0,0
2022,E,Seedbank,1,Q1,449.6666667,0,0,0,0,449.6666667
2022,E,Seedbank,1,Q2,717.5555556,0,0,0,0,717.5555556
2022,E,Seedbank,1,Q3,618.5555556,1057.555556,0,0,481.1111111,137.4444444
2022,E,Seedbank,1,Q4,723.7777778,0,0,0,668.5555556,55.22222222
2022,E,Seedbank,1,Q5,527.6666667,0,0,40.44444444,487.2222222,0
2022,E,Seedbank,2,Q1,187.8888889,1439,0,9.888888889,22,156
2022,E,Seedbank,2,Q2,156.1111111,891.6666667,81.11111111,24.88888889,131.2222222,0
2022,E,Seedbank,2,Q3,190.5555556,826.7777778,0,124.4444444,10.22222222,55.88888889
2022,E,Seedbank,2,Q4,550.6666667,391.7777778,0,0,0,550.6666667
2022,E,Seedbank,2,Q5,699.5555556,488.2222222,47.33333333,0,672.4444444,27.11111111
2022,E,Seedbank,3,Q1,156.3333333,2302,276.4444444,0,156.3333333,0
2022,E,Seedbank,3,Q2,171.6666667,2307.888889,12.77777778,0.888888889,170.7777778,0
2022,E,Seedbank,3,Q3,361.1111111,459.2222222,8.333333333,0,15,346.1111111
2022,E,Seedbank,3,Q4,202.8888889,1552.666667,21.77777778,120.7777778,0,82.11111111
2022,E,Seedbank,3,Q5,162,1380.777778,531.6666667,146,16,0
2022,R,Reference,1,Q1,108.8888889,90.55555556,18.66666667,108.8888889,0,0
2022,R,Reference,1,Q2,285.6666667,130.3333333,64.77777778,285.6666667,0,0
2022,R,Reference,1,Q3,479.8888889,124.3333333,0,479.8888889,0,0
2022,R,Reference,1,Q4,0,286.1111111,2418.555556,0,0,0
2022,R,Reference,1,Q5,0,1204.444444,3529.666667,0,0,0
2022,R,Reference,2,Q1,106.6666667,232.5555556,74.55555556,106.6666667,0,0
2022,R,Reference,2,Q2,246.6666667,192.5555556,1061.222222,246.6666667,0,0
2022,R,Reference,2,Q3,439,129.8888889,78.11111111,439,0,0
2022,R,Reference,2,Q4,62.77777778,591.1111111,969.4444444,62.77777778,0,0
2022,R,Reference,2,Q5,206.2222222,425.2222222,2443.111111,206.2222222,0,0
2022,R,Reference,3,Q1,194.4444444,269.7777778,0,194.4444444,0,0
2022,R,Reference,3,Q2,3.222222222,217.7777778,591.8888889,3.222222222,0,0
2022,R,Reference,3,Q3,1,462.7777778,119.7777778,1,0,0
2022,R,Reference,3,Q4,74.55555556,290,0,74.55555556,0,0
2022,R,Reference,3,Q5,179.2222222,252.3333333,0,179.2222222,0,0
2023,A,Balled-and-burlapped,1,Q1,54.88888889,567.7777778,108.8888889,54.88888889,0,0
2023,A,Balled-and-burlapped,1,Q2,27.33333333,293.1111111,7.222222222,27.33333333,0,0
2023,A,Balled-and-burlapped,1,Q3,210.3333333,676,4.444444444,210.3333333,0,0
2023,A,Balled-and-burlapped,1,Q4,237,857.3333333,493.7777778,237,0,0
2023,A,Balled-and-burlapped,1,Q5,6,1217.444444,634,6,0,0
2023,A,Balled-and-burlapped,2,Q1,359.6666667,884.6666667,57.88888889,274.2222222,19.77777778,65.66666667
2023,A,Balled-and-burlapped,2,Q2,339.1111111,1347.111111,377,0,337.4444444,1.666666667
2023,A,Balled-and-burlapped,2,Q3,50.11111111,574.6666667,527.3333333,50.11111111,0,0
2023,A,Balled-and-burlapped,2,Q4,569.5555556,2342.666667,243.7777778,565.1111111,0,4.444444444
2023,A,Balled-and-burlapped,2,Q5,351.5555556,443.4444444,137.4444444,26.88888889,0,324.6666667
2023,A,Balled-and-burlapped,3,Q1,240.3333333,802.1111111,27,240.3333333,0,0
2023,A,Balled-and-burlapped,3,Q2,23.11111111,777.2222222,109.6666667,23.11111111,0,0
2023,A,Balled-and-burlapped,3,Q3,399.5555556,1132.666667,200.2222222,399.5555556,0,0
2023,A,Balled-and-burlapped,3,Q4,46.55555556,745.5555556,101.3333333,46.55555556,0,0
2023,A,Balled-and-burlapped,3,Q5,0.666666667,783.7777778,182,0.666666667,0,0
2023,B,Bareroot,1,Q1,373.3333333,821.5555556,0,367.6666667,0,5.666666667
2023,B,Bareroot,1,Q2,328.2222222,1209,41,0,328.2222222,0
2023,B,Bareroot,1,Q3,546.7777778,803.8888889,527.7777778,546.7777778,0,0
2023,B,Bareroot,1,Q4,280.5555556,1123.777778,459.4444444,280.5555556,0,0
2023,B,Bareroot,1,Q5,772.8888889,776.2222222,157.7777778,238.1111111,534.7777778,0
2023,B,Bareroot,2,Q1,28.44444444,821.5555556,277.5555556,28.44444444,0,0
2023,B,Bareroot,2,Q2,1.444444444,1255.111111,2555.555556,1.444444444,0,0
2023,B,Bareroot,2,Q3,39.11111111,863.2222222,932.4444444,39.11111111,0,0
2023,B,Bareroot,2,Q4,75.55555556,1136.444444,661.8888889,75.55555556,0,0
2023,B,Bareroot,2,Q5,0.777777778,1561,2043.444444,0.777777778,0,0
2023,B,Bareroot,3,Q1,0,571.7777778,165.6666667,0,0,0
2023,B,Bareroot,3,Q2,3,1050.111111,205.6666667,3,0,0
2023,B,Bareroot,3,Q3,9.666666667,445.6666667,513.7777778,9.666666667,0,0
2023,B,Bareroot,3,Q4,35.44444444,453,299.4444444,35.44444444,0,0
2023,B,Bareroot,3,Q5,0.222222222,234.1111111,339,0.222222222,0,0
2023,C,Seedling,1,Q1,0,367.2222222,2343.666667,0,0,0
2023,C,Seedling,1,Q2,0.333333333,1388,1342.444444,0.333333333,0,0
2023,C,Seedling,1,Q3,286.1111111,1297.555556,227.1111111,286.1111111,0,0
2023,C,Seedling,1,Q4,49.33333333,880.6666667,420.5555556,49.33333333,0,0
2023,C,Seedling,1,Q5,12.77777778,715.5555556,466.3333333,12.77777778,0,0
2023,C,Seedling,2,Q1,8.111111111,571.3333333,438.3333333,8.111111111,0,0
2023,C,Seedling,2,Q2,150.5555556,639.5555556,1867.111111,150.5555556,0,0
2023,C,Seedling,2,Q3,0.444444444,667.7777778,828.1111111,0.444444444,0,0
2023,C,Seedling,2,Q4,11.88888889,751.1111111,300.6666667,11.88888889,0,0
2023,C,Seedling,2,Q5,0,820.6666667,736.3333333,0,0,0
2023,C,Seedling,3,Q1,0,749.3333333,718.7777778,0,0,0
2023,C,Seedling,3,Q2,0.111111111,1361.111111,787,0.111111111,0,0
2023,C,Seedling,3,Q3,4.111111111,806.6666667,501.7777778,4.111111111,0,0
2023,C,Seedling,3,Q4,50.66666667,915.8888889,472.2222222,50.66666667,0,0
2023,C,Seedling,3,Q5,177.8888889,470.7777778,379.1111111,177.8888889,0,0
2023,D,Acorn,1,Q1,3.555555556,715.8888889,854.4444444,3.555555556,0,0
2023,D,Acorn,1,Q2,52,1526.666667,13.33333333,52,0,0
2023,D,Acorn,1,Q3,552,971.4444444,32.11111111,3.222222222,548.7777778,0
2023,D,Acorn,1,Q4,190,1136.777778,137.2222222,5.111111111,31.88888889,153
2023,D,Acorn,1,Q5,134.3333333,1320.111111,0,7.666666667,88.22222222,38.44444444
2023,D,Acorn,2,Q1,321.2222222,1240.333333,31.77777778,321.2222222,0,0
2023,D,Acorn,2,Q2,156.4444444,363.4444444,332.8888889,38.11111111,0,118.3333333
2023,D,Acorn,2,Q3,405.8888889,312.7777778,0,26.11111111,252.7777778,127
2023,D,Acorn,2,Q4,107.2222222,929.4444444,26.55555556,107.2222222,0,0
2023,D,Acorn,2,Q5,350.3833333,1327.888889,5.222222222,0.05,350.3333333,0
2023,D,Acorn,3,Q1,638.7777778,1065.555556,84.33333333,3.666666667,635.1111111,0
2023,D,Acorn,3,Q2,657.3333333,982.6666667,158,657.3333333,0,0
2023,D,Acorn,3,Q3,431.1111111,566.1111111,386.1111111,431.1111111,0,0
2023,D,Acorn,3,Q4,1743.222222,341.5555556,9.444444444,0,1743.222222,0
2023,D,Acorn,3,Q5,543.5555556,691.2222222,8.222222222,543.5555556,0,0
2023,E,Seedbank,1,Q1,314.3333333,1805.111111,668.2222222,0,164.3333333,150
2023,E,Seedbank,1,Q2,385.4444444,1813.666667,19.88888889,0,0,385.4444444
2023,E,Seedbank,1,Q3,269.5555556,1050.111111,34,7,121.1111111,141.4444444
2023,E,Seedbank,1,Q4,964.1111111,1381.777778,5.111111111,14.88888889,930.3333333,18.88888889
2023,E,Seedbank,1,Q5,1576,1836.555556,22.22222222,0.666666667,1575.333333,0
2023,E,Seedbank,2,Q1,90.11111111,600.4444444,27.77777778,47,43.11111111,0
2023,E,Seedbank,2,Q2,190.7777778,584.2222222,78.66666667,186.5555556,4.222222222,0
2023,E,Seedbank,2,Q3,742.3333333,232.6666667,9.111111111,25.66666667,0,716.6666667
2023,E,Seedbank,2,Q4,479.3333333,501.2222222,17.55555556,0,0,479.3333333
2023,E,Seedbank,2,Q5,1135.777778,863.5555556,0,0,968,167.7777778
2023,E,Seedbank,3,Q1,473.3333333,1151.666667,2.555555556,0,473.3333333,0
2023,E,Seedbank,3,Q2,466,1204.222222,29.66666667,0,466,0
2023,E,Seedbank,3,Q3,818.4444444,873.8888889,24.66666667,748.1111111,4,66.33333333
2023,E,Seedbank,3,Q4,642.7777778,1231.222222,0,527.8888889,114.8888889,0
2023,E,Seedbank,3,Q5,730.8888889,743,42.11111111,730.8888889,0,0
2023,R,Reference,1,Q1,16.55555556,89.88888889,115.3333333,16.55555556,0,0
2023,R,Reference,1,Q2,36.22222222,146.2222222,95.77777778,36.22222222,0,0
2023,R,Reference,1,Q3,0.666666667,571,6122.333333,0.666666667,0,0
2023,R,Reference,1,Q4,214.8888889,367,218.5555556,214.8888889,0,0
2023,R,Reference,1,Q5,89.88888889,271.3333333,24.77777778,89.88888889,0,0
2023,R,Reference,2,Q1,132,371.4444444,215.7777778,81,51,0
2023,R,Reference,2,Q2,280.4444444,185.5555556,99.77777778,280.4444444,0,0
2023,R,Reference,2,Q3,274.6666667,140.1111111,119,274.6666667,0,0
2023,R,Reference,2,Q4,66.22222222,208.2222222,356.5555556,66.22222222,0,0
2023,R,Reference,2,Q5,3.222222222,237.3333333,621.7777778,3.222222222,0,0
2023,R,Reference,3,Q1,196.3333333,747.8888889,473.8888889,196.3333333,0,0
2023,R,Reference,3,Q2,320.4444444,507.1111111,1734.666667,320.4444444,0,0
2023,R,Reference,3,Q3,531.2222222,725.7777778,1133.777778,531.2222222,0,0
2023,R,Reference,3,Q4,153.5555556,921.6666667,191.2222222,153.5555556,0,0
2023,R,Reference,3,Q5,158.8888889,866,285.7777778,158.8888889,0,0
