Date,Plot,Quadrat,Cover class,Spp,Notes
6/13/2023,A3,Q3,1,Toxicodendron radicans,
6/13/2023,A3,Q3,1,Pilea pumila,
6/13/2023,A3,Q3,1,Smilax tamnoides,
6/13/2023,A3,Q3,2,Symphyotrichum ontarionis ,
6/13/2023,A3,Q3,1,Humulus japonicus,
6/13/2023,A3,Q3,3,Stachys palustris,
6/13/2023,A3,Q3,2,Woody debris,
6/13/2023,A3,Q3,3,Bareground,
6/13/2023,A3,Q4,3,Morus alba,
6/13/2023,A3,Q4,1,Vitis riparia,
6/13/2023,A3,Q4,3,Symphyotrichum ontarionis ,
6/13/2023,A3,Q4,2,Oxalis stricta,
6/13/2023,A3,Q4,2,Bidens frondosa,
6/13/2023,A3,Q4,1,Toxicodendron radicans,
6/13/2023,A3,Q4,1,Acalypha rhomboidea,
6/13/2023,A3,Q4,1,Sicyos angulatus,
6/13/2023,A3,Q4,1,Woody debris,
6/13/2023,A3,Q4,2,Bareground,
6/13/2023,A3,Q5,2,Morus alba,
6/13/2023,A3,Q5,2,Bidens frondosa,
6/13/2023,A3,Q5,2,Symphyotrichum ontarionis ,
6/13/2023,A3,Q5,2,Toxicodendron radicans,
6/13/2023,A3,Q5,1,Carex grayi,
6/13/2023,A3,Q5,1,Acalypha rhomboidea,
6/13/2023,A3,Q5,1,Sicyos angulatus,
6/13/2023,A3,Q5,3,Woody debris,
6/13/2023,A3,Q5,2,Bareground,
6/13/2023,B1,Q1,5,Rudbeckia laciniata,
6/13/2023,B1,Q1,2,Humulus japonicus,
6/13/2023,B1,Q1,1,Phalaris arundinacea,
6/13/2023,B1,Q1,1,Bidens frondosa,
6/13/2023,B1,Q1,1,Pilea pumila,
6/13/2023,B1,Q1,1,Leersia virginica,
6/13/2023,B1,Q1,1,Symphyotrichum ontarionis ,
6/13/2023,B1,Q1,1,Antenoron virginianum,
6/13/2023,B1,Q1,3,Woody debris,
6/13/2023,B1,Q1,0,Bareground,
6/13/2023,B1,Q2,6,Phalaris arundinacea,
6/13/2023,B1,Q2,2,Humulus japonicus,
6/13/2023,B1,Q2,1,Pilea pumila,
6/13/2023,B1,Q2,1,Vitis riparia,
6/13/2023,B1,Q2,1,Woody debris,
6/13/2023,B1,Q2,0,Bareground,
6/13/2023,B1,Q3,2,Urtica dioica,
6/13/2023,B1,Q3,3,Phalaris arundinacea,
6/13/2023,B1,Q3,4,Pilea pumila,
6/13/2023,B1,Q3,1,Bidens frondosa,
6/13/2023,B1,Q3,1,Boehmeria cylindrica,
6/13/2023,B1,Q3,1,Toxicodendron radicans,
6/13/2023,B1,Q3,1,Sicyos angulatus,
6/13/2023,B1,Q3,0,Woody debris,
6/13/2023,B1,Q3,0,Bareground,
6/13/2023,B1,Q4,5,Urtica dioica,
6/13/2023,B1,Q4,1,Toxicodendron radicans,
6/13/2023,B1,Q4,2,Morus alba,
6/13/2023,B1,Q4,1,Pilea pumila,
6/13/2023,B1,Q4,1,Phalaris arundinacea,
6/13/2023,B1,Q4,1,Woody debris,
6/13/2023,B1,Q4,0,Bareground,
6/13/2023,B1,Q5,4,Vitis riparia,
6/13/2023,B1,Q5,5,Urtica dioica,
6/13/2023,B1,Q5,2,Phalaris arundinacea,
6/13/2023,B1,Q5,2,Morus alba,
6/13/2023,B1,Q5,4,Woody debris,
6/13/2023,B1,Q5,0,Bareground,
6/14/2023,B2,Q1,2,Persicaria punctata,
6/14/2023,B2,Q1,2,Laportea canadensis,
6/14/2023,B2,Q1,2,Toxicodendron radicans,
6/14/2023,B2,Q1,1,Pilea pumila,
6/14/2023,B2,Q1,1,Sicyos angulatus,
6/14/2023,B2,Q1,1,Lactuca serriola,
6/14/2023,B2,Q1,1,Fallopia scandens,
6/14/2023,B2,Q1,3,Woody debris,
6/14/2023,B2,Q1,3,Bareground,
6/14/2023,B2,Q2,1,Carex grayi,
6/14/2023,B2,Q2,2,Ulmus americana,
6/14/2023,B2,Q2,1,Persicaria punctata,
6/14/2023,B2,Q2,1,Acer saccharinum,
6/14/2023,B2,Q2,1,Smilax tamnoides,
6/14/2023,B2,Q2,1,Parthenocissus quinquefolia,
6/14/2023,B2,Q2,2,Woody debris,
6/14/2023,B2,Q2,4,Bareground,
6/14/2023,B2,Q3,3,Pilea pumila,
6/14/2023,B2,Q3,3,Laportea canadensis,
6/14/2023,B2,Q3,2,Vitis riparia,
6/14/2023,B2,Q3,1,Toxicodendron radicans,
6/14/2023,B2,Q3,1,Solanum ptychanthum,
6/14/2023,B2,Q3,1,Sicyos angulatus,
6/14/2023,B2,Q3,2,Morus alba,
6/14/2023,B2,Q3,2,Persicaria punctata,
6/14/2023,B2,Q3,1,Leersia virginica,
6/14/2023,B2,Q3,3,Bareground,
6/14/2023,B2,Q3,0,Woody debris,
6/14/2023,B2,Q4,3,Impatiens capensis,
6/14/2023,B2,Q4,3,Pilea pumila,
6/14/2023,B2,Q4,2,Bidens frondosa,
6/14/2023,B2,Q4,1,Toxicodendron radicans,
6/14/2023,B2,Q4,2,Boehmeria cylindrica,
6/14/2023,B2,Q4,1,Morus alba,
6/14/2023,B2,Q4,1,Sicyos angulatus,
6/14/2023,B2,Q4,1,Ulmus americana,
6/14/2023,B2,Q4,1,Acalypha rhomboidea,
6/14/2023,B2,Q4,2,Woody debris,
6/14/2023,B2,Q4,1,Bareground,
6/14/2023,B2,Q5,3,Parthenocissus quinquefolia,
6/14/2023,B2,Q5,2,Sicyos angulatus,
6/14/2023,B2,Q5,2,Vitis riparia,
6/14/2023,B2,Q5,1,Pilea pumila,
6/14/2023,B2,Q5,3,Woody debris,
6/14/2023,B2,Q5,3,Bareground,
6/14/2023,B3,Q1,2,Woody debris,
6/14/2023,B3,Q1,4,Bareground,
6/14/2023,B3,Q2,2,Sicyos angulatus,
6/14/2023,B3,Q2,3,Persicaria punctata,
6/14/2023,B3,Q2,1,Pilea pumila,
6/14/2023,B3,Q2,1,Acer saccharinum,
6/14/2023,B3,Q2,2,Toxicodendron radicans,
6/14/2023,B3,Q2,1,Hackelia virginiana,
6/14/2023,B3,Q2,1,Laportea canadensis,
6/14/2023,B3,Q2,1,Woody debris,
6/14/2023,B3,Q2,3,Bareground,
6/14/2023,B3,Q3,2,Sicyos angulatus,
6/14/2023,B3,Q3,1,Pilea pumila,
6/14/2023,B3,Q3,2,Persicaria punctata,
6/14/2023,B3,Q3,2,Symphyotrichum ontarionis ,
6/14/2023,B3,Q3,1,Hackelia virginiana,
6/14/2023,B3,Q3,1,Morus alba,
6/14/2023,B3,Q3,1,Toxicodendron radicans,
6/14/2023,B3,Q3,5,Bareground,
6/14/2023,B3,Q3,2,Woody debris,
6/14/2023,B3,Q4,3,Pilea pumila,
6/14/2023,B3,Q4,2,Sicyos angulatus,
6/14/2023,B3,Q4,2,Parthenocissus quinquefolia,
6/14/2023,B3,Q4,1,Solanum ptychanthum,
6/14/2023,B3,Q4,1,Toxicodendron radicans,
6/14/2023,B3,Q4,1,Acer saccharinum,
6/14/2023,B3,Q4,2,Woody debris,
6/14/2023,B3,Q4,3,Bareground,
6/14/2023,B3,Q5,1,Taraxacum officinale,
6/14/2023,B3,Q5,2,Vitis riparia,
6/14/2023,B3,Q5,1,Solanum ptychanthum,
6/14/2023,B3,Q5,1,Bidens frondosa,
6/14/2023,B3,Q5,1,Pilea pumila,
6/14/2023,B3,Q5,1,Smilax tamnoides,
6/14/2023,B3,Q5,3,Bareground,
6/14/2023,B3,Q5,3,Woody debris,
6/12/2023,C1,Q1,2,Pilea pumila,
6/12/2023,C1,Q1,1,Impatiens capensis,
6/12/2023,C1,Q1,2,Sicyos angulatus,
6/12/2023,C1,Q1,2,Fraxinus pennsylvanica,
6/12/2023,C1,Q1,1,Humulus japonicus,
6/12/2023,C1,Q1,2,Toxicodendron radicans,
6/12/2023,C1,Q1,1,Persicaria punctata,
6/12/2023,C1,Q1,1,Laportea canadensis,
6/12/2023,C1,Q1,4,Woody debris,
6/12/2023,C1,Q1,1,Bareground,
6/12/2023,C1,Q2,1,Vitis riparia,
6/12/2023,C1,Q2,1,Acer saccharinum,
6/12/2023,C1,Q2,1,Celtis occidentalis,
6/12/2023,C1,Q2,1,Carya spp.,
6/12/2023,C1,Q2,3,Woody debris,
6/12/2023,C1,Q2,3,Bareground,
6/12/2023,C1,Q3,4,Laportea canadensis,
6/12/2023,C1,Q3,1,Celtis occidentalis,
6/12/2023,C1,Q3,2,Woody debris,
6/12/2023,C1,Q3,2,Bareground,
6/12/2023,C1,Q4,2,Toxicodendron radicans,
6/12/2023,C1,Q4,1,Solanum ptychanthum,
6/12/2023,C1,Q4,1,Sicyos angulatus,
6/12/2023,C1,Q4,1,Leersia virginica,
6/12/2023,C1,Q4,2,Pilea pumila,
6/12/2023,C1,Q4,1,Acer saccharinum,
6/12/2023,C1,Q4,0,Woody debris,
6/12/2023,C1,Q4,4,Bareground,
6/12/2023,C1,Q5,2,Persicaria punctata,
6/12/2023,C1,Q5,1,Sicyos angulatus,
6/12/2023,C1,Q5,1,Acer saccharinum,
6/12/2023,C1,Q5,4,Woody debris,
6/12/2023,C1,Q5,2,Bareground,
6/12/2023,C1,Q5,1,Euonymys atropurpureus,
6/14/2023,C2,Q1,2,Toxicodendron radicans,
6/14/2023,C2,Q1,1,Bidens frondosa,
6/14/2023,C2,Q1,1,Symphyotrichum ontarionis ,
6/14/2023,C2,Q1,1,Persicaria punctata,
6/14/2023,C2,Q1,2,Woody debris,
6/14/2023,C2,Q1,2,Bareground,
6/14/2023,C2,Q2,3,Laportea canadensis,
6/14/2023,C2,Q2,2,Symphyotrichum ontarionis ,
6/14/2023,C2,Q2,1,Ulmus americana,
6/14/2023,C2,Q2,2,Boehmeria cylindrica,
6/14/2023,C2,Q2,1,Fraxinus pennsylvanica,
6/14/2023,C2,Q2,3,Toxicodendron radicans,
6/14/2023,C2,Q2,1,Humulus japonicus,
6/14/2023,C2,Q2,2,Woody debris,
6/14/2023,C2,Q2,1,Bareground,
6/14/2023,C2,Q3,1,Morus alba,
6/14/2023,C2,Q3,2,Carex grisea,
6/14/2023,C2,Q3,1,Gleditsia triacanthos,
6/14/2023,C2,Q3,2,Persicaria punctata,
6/14/2023,C2,Q3,1,Pilea pumila,
6/14/2023,C2,Q3,1,Chenopodium album,
6/14/2023,C2,Q3,1,Bidens frondosa,
6/14/2023,C2,Q3,1,Celtis occidentalis,
6/14/2023,C2,Q3,1,Vitis riparia,
6/14/2023,C2,Q3,2,Woody debris,
6/14/2023,C2,Q3,4,Bareground,
6/14/2023,C2,Q4,1,Persicaria pensylvanica,
6/14/2023,C2,Q4,3,Persicaria punctata,
6/14/2023,C2,Q4,1,Bidens frondosa,
6/14/2023,C2,Q4,1,Toxicodendron radicans,
6/14/2023,C2,Q4,1,Pilea pumila,
6/14/2023,C2,Q4,1,Chenopodium album,
6/14/2023,C2,Q4,1,Ulmus americana,
6/14/2023,C2,Q4,1,Woody debris,
6/14/2023,C2,Q4,3,Bareground,
6/14/2023,C2,Q5,1,Toxicodendron radicans,
6/14/2023,C2,Q5,1,Sicyos angulatus,
6/14/2023,C2,Q5,1,Bidens frondosa,
6/14/2023,C2,Q5,1,Ageratina altissima,
6/14/2023,C2,Q5,3,Woody debris,
6/14/2023,C2,Q5,3,Bareground,
6/13/2023,C3,Q1,2,Toxicodendron radicans,
6/13/2023,C3,Q1,1,Ulmus americana,
6/13/2023,C3,Q1,3,Woody debris,
6/13/2023,C3,Q1,2,Bareground,
6/13/2023,C3,Q2,2,Toxicodendron radicans,
6/13/2023,C3,Q2,1,Solanum ptychanthum,
6/13/2023,C3,Q2,2,Woody debris,
6/13/2023,C3,Q2,2,Bareground,
6/13/2023,C3,Q2,1,Vitis riparia,
6/13/2023,C3,Q3,1,Hackelia virginiana,
6/13/2023,C3,Q3,2,Parthenocissus quinquefolia,
6/13/2023,C3,Q3,2,Toxicodendron radicans,
6/13/2023,C3,Q3,2,Laportea canadensis,
6/13/2023,C3,Q3,1,Sicyos angulatus,
6/13/2023,C3,Q3,1,Acer saccharinum,
6/13/2023,C3,Q3,1,Solanum ptychanthum,
6/13/2023,C3,Q3,3,Woody debris,
6/13/2023,C3,Q3,2,Bareground,
6/13/2023,C3,Q4,1,Acer saccharinum,
6/13/2023,C3,Q4,1,Toxicodendron radicans,
6/13/2023,C3,Q4,1,Sicyos angulatus,
6/13/2023,C3,Q4,1,Ulmus americana,
6/13/2023,C3,Q4,2,Woody debris,
6/13/2023,C3,Q4,2,Bareground,
6/13/2023,C3,Q5,3,Symphyotrichum ontarionis ,
6/13/2023,C3,Q5,3,Toxicodendron radicans,
6/13/2023,C3,Q5,2,Morus alba,
6/13/2023,C3,Q5,2,Woody debris,
6/13/2023,C3,Q5,2,Bareground,
6/14/2023,D1,Q1,2,Humulus japonicus,
6/14/2023,D1,Q1,3,Morus alba,
6/14/2023,D1,Q1,1,Sicyos angulatus,
6/14/2023,D1,Q1,1,Phytolacca americana,
6/14/2023,D1,Q1,2,Boehmeria cylindrica,
6/14/2023,D1,Q1,1,Vitis riparia,
6/14/2023,D1,Q1,1,Woody debris,
6/14/2023,D1,Q1,1,Bareground,
6/14/2023,D1,Q1,1,Pilea pumila,
6/14/2023,D1,Q2,1,Elymus virginicus,
6/14/2023,D1,Q2,2,Symphyotrichum ontarionis ,
6/14/2023,D1,Q2,1,Fallopia scandens,
6/14/2023,D1,Q2,2,Persicaria punctata,
6/14/2023,D1,Q2,1,Humulus japonicus,
6/14/2023,D1,Q2,1,Pilea pumila,
6/14/2023,D1,Q2,2,Phalaris arundinacea,
6/14/2023,D1,Q2,0,Woody debris,
6/14/2023,D1,Q2,1,Bareground,
6/14/2023,D1,Q2,1,Sicyos angulatus,
6/14/2023,D1,Q2,2,Carex grayi,
6/14/2023,D1,Q3,5,Phalaris arundinacea,
6/14/2023,D1,Q3,1,Humulus japonicus,
6/14/2023,D1,Q3,1,Impatiens capensis,
6/14/2023,D1,Q3,0,Bareground,
6/14/2023,D1,Q3,0,Woody debris,
6/14/2023,D1,Q4,4,Humulus japonicus,
6/14/2023,D1,Q4,3,Phalaris arundinacea,
6/14/2023,D1,Q4,1,Persicaria punctata,
6/14/2023,D1,Q4,1,Fallopia scandens,
6/14/2023,D1,Q4,2,Woody debris,
6/14/2023,D1,Q4,0,Bareground,
6/14/2023,D1,Q5,2,Acer saccharinum,
6/14/2023,D1,Q5,2,Morus alba,
6/14/2023,D1,Q5,2,Humulus japonicus,
6/14/2023,D1,Q5,2,Sicyos angulatus,
6/14/2023,D1,Q5,2,Impatiens capensis,
6/14/2023,D1,Q5,3,Phalaris arundinacea,
6/14/2023,D1,Q5,1,Pilea pumila,
6/14/2023,D1,Q5,1,Persicaria punctata,
6/14/2023,D1,Q5,0,Woody debris,
6/14/2023,D1,Q5,0,Bareground,
6/14/2023,D1,Q5,1,Ulmus americana,
6/14/2023,D2,Q1,2,Sicyos angulatus,
6/14/2023,D2,Q1,3,Urtica dioica,
6/14/2023,D2,Q1,1,Pilea pumila,
6/14/2023,D2,Q1,1,Leersia virginica,
6/14/2023,D2,Q1,2,Rumex altissimus,
6/14/2023,D2,Q1,1,Symphyotrichum ontarionis ,
6/14/2023,D2,Q1,1,Humulus japonicus,
6/14/2023,D2,Q1,2,Ageratina altissima,
6/14/2023,D2,Q1,1,Acer saccharinum,
6/14/2023,D2,Q1,2,Bareground,
6/14/2023,D2,Q1,1,Woody debris,
6/14/2023,D2,Q1,1,Fraxinus pennsylvanica,
6/14/2023,D2,Q2,3,Humulus japonicus,
6/14/2023,D2,Q2,1,Hackelia virginiana,
6/14/2023,D2,Q2,2,Erechtites hieraciifolius,
6/14/2023,D2,Q2,2,Amaranthus tuberculatus,
6/14/2023,D2,Q2,2,Persicaria pensylvanica,
6/14/2023,D2,Q2,1,Solanum ptychanthum,
6/14/2023,D2,Q2,1,Sicyos angulatus,
6/14/2023,D2,Q2,1,Potentilla simplex,
6/14/2023,D2,Q2,1,Bareground,
6/14/2023,D2,Q2,1,Woody debris,
6/14/2023,D2,Q2,1,Phytolacca americana,
6/14/2023,D2,Q2,1,Elymus virginicus,
6/14/2023,D2,Q2,1,Urtica dioica,
6/14/2023,D2,Q3,5,Humulus japonicus,
6/14/2023,D2,Q3,2,Phalaris arundinacea,
6/14/2023,D2,Q3,1,Urtica dioica,
6/14/2023,D2,Q3,0,Bareground,
6/14/2023,D2,Q3,0,Woody debris,
6/14/2023,D2,Q3,1,Elymus virginicus,
6/14/2023,D2,Q3,1,Persicaria pensylvanica,
6/14/2023,D2,Q3,1,Sicyos angulatus,
6/14/2023,D2,Q4,2,Phytolacca americana,
6/14/2023,D2,Q4,3,Pilea pumila,
6/14/2023,D2,Q4,2,Urtica dioica,
6/14/2023,D2,Q4,2,Ulmus americana,
6/14/2023,D2,Q4,2,Persicaria punctata,
6/14/2023,D2,Q4,1,Bidens frondosa,
6/14/2023,D2,Q4,3,Bareground,
6/14/2023,D2,Q4,0,Woody debris,
6/14/2023,D2,Q5,3,Phalaris arundinacea,
6/14/2023,D2,Q5,2,Laportea canadensis,
6/14/2023,D2,Q5,2,Sicyos angulatus,
6/14/2023,D2,Q5,1,Pilea pumila,
6/14/2023,D2,Q5,1,Vitis riparia,
6/14/2023,D2,Q5,1,Acer saccharinum,
6/14/2023,D2,Q5,2,Bareground,
6/14/2023,D2,Q5,3,Woody debris,
6/13/2023,D3,Q1,5,Phalaris arundinacea,
6/13/2023,D3,Q1,3,Pilea pumila,
6/13/2023,D3,Q1,1,Solanum ptychanthum,
6/13/2023,D3,Q1,2,Persicaria pensylvanica,
6/13/2023,D3,Q1,0,Bareground,
6/13/2023,D3,Q1,1,Woody debris,
6/13/2023,D3,Q2,3,Sicyos angulatus,
6/13/2023,D3,Q2,3,Symphyotrichum ontarionis ,
6/13/2023,D3,Q2,3,Phalaris arundinacea,
6/13/2023,D3,Q2,2,Morus alba,
6/13/2023,D3,Q2,2,Symphyotrichum lanceolatum,
6/13/2023,D3,Q2,0,Bareground,
6/13/2023,D3,Q2,0,Woody debris,
6/13/2023,D3,Q2,1,Persicaria spp.,
6/13/2023,D3,Q2,1,Pilea pumila,
6/13/2023,D3,Q3,4,Bidens frondosa,
6/13/2023,D3,Q3,4,Sicyos angulatus,
6/13/2023,D3,Q3,2,Amaranthus tuberculatus,
6/13/2023,D3,Q3,2,Solanum ptychanthum,
6/13/2023,D3,Q3,2,Phytolacca americana,
6/13/2023,D3,Q3,1,Morus alba,
6/13/2023,D3,Q3,1,Elymus virginicus,
6/13/2023,D3,Q3,1,Carex spp.,
6/13/2023,D3,Q3,1,Grass spp.,
6/13/2023,D3,Q3,2,Woody debris,
6/13/2023,D3,Q3,0,Bareground,
6/13/2023,D3,Q3,1,Toxicodendron radicans,
6/13/2023,D3,Q4,5,Phalaris arundinacea,
6/13/2023,D3,Q4,2,Symphyotrichum ontarionis ,
6/13/2023,D3,Q4,1,Bidens frondosa,
6/13/2023,D3,Q4,0,Bareground,
6/13/2023,D3,Q4,0,Woody debris,
6/13/2023,D3,Q5,5,Persicaria pensylvanica,
6/13/2023,D3,Q5,2,Solanum ptychanthum,
6/13/2023,D3,Q5,1,Amaranthus tuberculatus,
6/13/2023,D3,Q5,2,Acer saccharinum,
6/13/2023,D3,Q5,1,Vitis riparia,
6/13/2023,D3,Q5,2,Ulmus americana,
6/13/2023,D3,Q5,2,Antenoron virginianum,
6/13/2023,D3,Q5,1,Parthenocissus quinquefolia,
6/13/2023,D3,Q5,0,Bareground,
6/13/2023,D3,Q5,0,Woody debris,
6/12/2023,E1,Q1,6,Humulus japonicus,
6/12/2023,E1,Q1,1,Phalaris arundinacea,
6/12/2023,E1,Q1,0,Woody debris,
6/12/2023,E1,Q1,0,Bareground,
6/12/2023,E1,Q2,6,Humulus japonicus,
6/12/2023,E1,Q2,0,Woody debris,
6/12/2023,E1,Q2,0,Bareground,
6/12/2023,E1,Q3,5,Humulus japonicus,
6/12/2023,E1,Q3,1,Phalaris arundinacea,
6/12/2023,E1,Q3,1,Fallopia scandens,
6/12/2023,E1,Q3,1,Woody debris,
6/12/2023,E1,Q3,0,Bareground,
6/12/2023,E1,Q4,5,Phalaris arundinacea,
6/12/2023,E1,Q4,2,Humulus japonicus,
6/12/2023,E1,Q4,2,Fallopia scandens,
6/12/2023,E1,Q4,0,Bareground,
6/12/2023,E1,Q4,0,Woody debris,
6/12/2023,E1,Q5,6,Phalaris arundinacea,
6/12/2023,E1,Q5,1,Fallopia scandens,
6/12/2023,E1,Q5,0,Woody debris,
6/12/2023,E1,Q5,0,Bareground,
6/12/2023,E1,Q5,1,Celtis occidentalis,
6/13/2023,E2,Q1,4,Phalaris arundinacea,
6/13/2023,E2,Q1,2,Persicaria punctata,
6/13/2023,E2,Q1,3,Pilea pumila,
6/13/2023,E2,Q1,2,Bidens frondosa,
6/13/2023,E2,Q1,1,Erechtites hieraciifolius,
6/13/2023,E2,Q1,1,Solanum ptychanthum,
6/13/2023,E2,Q1,0,Woody debris,
6/13/2023,E2,Q1,0,Bareground,
6/13/2023,E2,Q2,4,Phalaris arundinacea,
6/13/2023,E2,Q2,2,Persicaria pensylvanica,
6/13/2023,E2,Q2,2,Bidens frondosa,
6/13/2023,E2,Q2,2,Chenopodium album,
6/13/2023,E2,Q2,1,Humulus japonicus,
6/13/2023,E2,Q2,2,Pilea pumila,
6/13/2023,E2,Q2,1,Sicyos angulatus,
6/13/2023,E2,Q2,0,Woody debris,
6/13/2023,E2,Q2,0,Bareground,
6/13/2023,E2,Q3,6,Humulus japonicus,
6/13/2023,E2,Q3,2,Persicaria pensylvanica,
6/13/2023,E2,Q3,1,Phalaris arundinacea,
6/13/2023,E2,Q3,0,Woody debris,
6/13/2023,E2,Q3,0,Bareground,
6/13/2023,E2,Q4,6,Humulus japonicus,
6/13/2023,E2,Q4,0,Bareground,
6/13/2023,E2,Q4,0,Woody debris,
6/13/2023,E2,Q5,5,Humulus japonicus,
6/13/2023,E2,Q5,6,Phalaris arundinacea,
6/13/2023,E2,Q5,0,Bareground,
6/13/2023,E2,Q5,0,Woody debris,
6/13/2023,E3,Q1,6,Phalaris arundinacea,
6/13/2023,E3,Q1,0,Bareground,
6/13/2023,E3,Q1,0,Woody debris,
6/13/2023,E3,Q1,1,Fraxinus pennsylvanica,
6/13/2023,E3,Q2,6,Phalaris arundinacea,
6/13/2023,E3,Q2,1,Acer saccharinum,
6/13/2023,E3,Q2,1,Persicaria pensylvanica,
6/13/2023,E3,Q2,0,Bareground,
