Transect,Quadrat,Species,Mass of boat (g),Mass of boat + vegetation (g),Mass of vegetation (g),Note
B2,Q4,Fine woody debris,406.2,456.15,49.95,
B2,Q1,Persicaria punctata,406.2,408.76,2.56,
B3,Q5,Herbaceous litter,406.2,427.13,20.93,
B1,Q4,Fine woody debris,406.2,441.75,35.55,
D2,Q5,Phalaris arundinacea,406.2,437.73,31.53,
D3,Q1,Herbaceous litter,406.2,502.1,95.9,
D3,Q1,Fine woody debris,406.2,410.38,4.18,
D2,Q3,Phalaris arundinacea,406.2,428.95,22.75,
D3,Q1,Phalaris arundinacea,406.2,463.36,57.16,
D2,Q4,Phytolacca americana,406.2,407.28,1.08,
D3,Q3,Bidens frondosa,406.2,436.16,29.96,
D3,Q3,Toxicodendron radicans,406.2,407.33,1.13,
D2,Q3,Humulus japonicus,406.2,417.63,11.43,
B2,Q4,Pilea pumila,406.2,409.5,3.3,
D2,Q3,Urtica gracilis,406.2,406.81,0.61,
B2,Q4,Toxicodendron radicans,406.2,409.26,3.06,
B3,Q4,Pilea pumila,406.2,407.67,1.47,
B1,Q5,Vitis riparia,406.2,427.63,21.43,
B1,Q5,Phalaris arundinacea,406.2,454.33,48.13,
B1,Q3,Urtica gracilis,406.2,454.41,48.21,
C2,Q1,Fine woody debris,406.2,440.28,34.08,
B3,Q4,Herbaceous litter,406.2,446.97,40.77,
B3,Q4,Fine woody debris,406.2,411.67,5.47,
D3,Q3,Phytolacca americana,406.2,409.02,2.82,
B1,Q2,Fine woody debris,406.2,409.17,2.97,
B3,Q5,Fine woody debris,406.2,436.71,30.51,
B3,Q5,Herbaceous litter,35.92,36.06,0.14,
B2,Q1,Fine woody debris,406.2,425.96,19.76,
B1,Q1,Rudbeckia laciniata,406.2,439.15,32.95,
C2,Q2,Herbaceous litter,406.2,461.73,55.53,
C2,Q2,Fine woody debris,35.92,68.97,33.05,
B1,Q5,Herbaceous litter,406.2,476.06,69.86,
B1,Q5,Fine woody debris,35.92,50.12,14.2,Mass is 13.81 in other sheet
A1,Q1,Herbaceous litter,406.2,457.3,51.1,
A1,Q1,Fine woody debris,35.92,42.66,6.74,
D2,Q3,Herbaceous litter,406.2,434.35,28.15,
C2,Q4,Herbaceous litter,406.2,473.8,67.6,
C2,Q4,Fine woody debris,35.92,45.19,9.27,
A1,Q4,Herbaceous litter,406.2,483.36,77.16,
A1,Q4,Fine woody debris,35.92,48.21,12.29,
B1,Q4,Urtica gracilis,406.2,431.45,25.25,
B1,Q2,Phalaris arundinacea,406.2,435.74,29.54,
B1,Q2,Herbaceous litter,406.2,515.01,108.81,
B1,Q2,Fine woody debris,35.92,36.64,0.72,
B1,Q3,Herbaceous litter,406.2,478.55,72.35,
B1,Q3,Fine woody debris,35.92,61.27,25.35,
A1,Q1,Fine woody debris,406.2,409.26,3.06,
A1,Q5,Leersia virginica,406.2,406.74,0.54,
B1,Q3,Pilea pumila,406.2,407.18,0.98,
B1,Q3,Fine woody debris,406.2,428.35,22.15,
A1,Q3,Pilea pumila,406.2,417.67,11.47,
A1,Q1,Pilea pumila,406.2,411.05,4.85,
A1,Q5,Herbaceous litter,406.2,515.45,109.25,
A1,Q5,Fine woody debris,35.92,50.49,14.57,
A1,Q3,Morus alba,406.2,413.02,6.82,
A1,Q5,Fine woody debris,406.2,448.69,42.49,
A1,Q5,Herbaceous litter,35.92,36.24,0.32,
B1,Q4,Herbaceous litter,406.2,507.34,101.14,
B1,Q4,Fine woody debris,35.92,41.72,5.8,
A1,Q4,Laportea canadensis,406.2,425.68,19.48,
A1,Q3,Herbaceous litter,406.2,467.04,60.84,
A1,Q3,Fine woody debris,35.92,36.32,0.4,
A1,Q4,Sicyos angulatus,406.2,407.99,1.79,
E1,Q1,Phalaris arundinacea,406.2,420.99,14.79,
R3,Q1,Herbaceous litter,406.2,473.51,67.31,
R3,Q1,Fine woody debris,35.92,43.26,7.34,
D1,Q5,Phalaris arundinacea,406.2,414.14,7.94,
E1,Q3,Phalaris arundinacea,406.2,417.1,10.9,
C2,Q4,Fine woody debris,406.2,423.99,17.79,
E1,Q1,Fine woody debris,406.2,436.48,30.28,
R3,Q1,Fine woody debris,406.2,441.51,35.31,
R3,Q3,Boehmeria cylindrica,406.2,408.41,2.21,
E1,Q3,Fine woody debris,406.2,408.66,2.46,
R3,Q3,Herbaceous litter,406.2,471.44,65.24,
R3,Q3,Fine woody debris,35.92,56.27,20.35,
R3,Q4,Fine woody debris,406.2,421.92,15.72,
R3,Q4,Herbaceous litter,35.92,35.98,0.06,
R3,Q4,Bidens frondosa,406.2,413.8,7.6,
C2,Q1,Herbaceous litter,406.2,457.62,51.42,
C2,Q1,Fine woody debris,35.92,41.29,5.37,
R3,Q5,Bidens frondosa,406.2,419.23,13.03,
R3,Q2,Fine woody debris,406.2,555.34,149.14,
R3,Q2,Herbaceous litter,35.92,36.08,0.16,
B2,Q5,Herbaceous litter,406.2,546.69,140.49,
B2,Q5,Fine woody debris,35.92,78.14,42.22,
E1,Q4,Phalaris arundinacea,406.2,489.93,83.73,
D3,Q5,Amaranthus tuberculatus,406.2,410.15,3.95,
D3,Q5,Herbaceous litter,406.2,468.41,62.21,
D3,Q5,Fine woody debris,35.92,36.66,0.74,
R3,Q2,Acer saccharinum,406.2,413.89,7.69,
D3,Q4,Herbaceous litter,406.2,436.94,30.74,
D3,Q4,Fine woody debris,35.92,36.77,0.85,
B2,Q1,Herbaceous litter,406.2,480.14,73.94,
B2,Q1,Fine woody debris,35.92,41.14,5.22,
D2,Q2,Fine woody debris,406.2,430.64,24.44,
B3,Q3,Herbaceous litter,406.2,446.06,39.86,
B3,Q3,Fine woody debris,35.92,42.59,6.67,
D2,Q1,Herbaceous litter,406.2,517.83,111.63,
D2,Q1,Fine woody debris,35.92,37.55,1.63,
E2,Q1,Phalaris arundinacea,406.2,410.08,3.88,
C1,Q5,Herbaceous litter,406.2,470.54,64.34,
C1,Q5,Fine woody debris,35.92,52.91,16.99,
E2,Q2,Persicaria pensylvanica,406.2,407.59,1.39,
E2,Q1,Bidens frondosa,406.2,408.65,2.45,
E2,Q1,Herbaceous litter,406.2,460.24,54.04,
E2,Q1,Fine woody debris,35.92,37.05,1.13,
C1,Q2,Fine woody debris,406.2,511.01,104.81,
C1,Q2,Herbaceous litter,406.2,531.12,124.92,
C1,Q2,Fine woody debris,35.92,51.93,16.01,
B3,Q5,Solanum ptychanthum,35.92,35.94,0.02,
B3,Q2,Pilea pumila,35.92,35.99,0.07,
B2,Q5,Parthenocissus quinquefolia,35.92,35.99,0.07,
B3,Q2,Acer saccharinum,35.92,36.12,0.2,
B2,Q2,Persicaria punctata,35.92,36.05,0.13,
D2,Q2,Solanum ptychanthum,35.92,35.95,0.03,
D2,Q2,Amaranthus tuberculatus,35.92,35.93,0.01,
D2,Q2,Urtica gracilis,35.92,35.93,0.01,
D2,Q3,Persicaria pensylvanica,35.92,36.85,0.93,
D3,Q2,Persicaria spp.,35.92,35.96,0.04,
D3,Q2,Pilea pumila,35.92,35.93,0.01,
D2,Q5,Urtica gracilis,2.1837,2.1882,0.0045,
R3,Q3,Symphyotrichum ontarionisis,406.2,451.55,45.35,
R3,Q5,Fine woody debris,406.2,431.92,25.72,
R3,Q5,Herbaceous litter,406.2,484.14,77.94,
E1,Q1,Humulus japonicus,406.2,419.7,13.5,
D3,Q2,Herbaceous litter,406.2,494.64,88.44,
D3,Q2,Fine woody debris,35.92,42.83,6.91,
D3,Q2,Sicyos angulatus,406.2,412.28,6.08,
E3,Q5,Bidens frondosa,406.2,421.58,15.38,
E2,Q3,Humulus japonicus,406.2,470.7,64.5,
R2,Q1,Bidens frondosa,406.2,413.23,7.03,
E2,Q1,Pilea pumila,406.2,406.55,0.35,
R2,Q2,Persicaria pensylvanica,406.2,409.79,3.59,
C1,Q3,Laportea canadensis,406.2,431.95,25.75,
C1,Q1,Fine woody debris,406.2,595.76,189.56,
C1,Q1,Herbaceous litter,35.92,36.03,0.11,
R2,Q2,Fine woody debris,35.92,44.9,8.98,
R2,Q2,Herbaceous litter,406.2,422.9,16.7,
R3,Q2,Herbaceous litter,406.2,451.68,45.48,
R3,Q2,Fine woody debris,35.92,42.9,6.98,
C1,Q1,Herbaceous litter,406.2,439.14,32.94,
C1,Q1,Fine woody debris,35.92,57.29,21.37,
C1,Q5,Euonymus atropurpureus,406.2,406.5,0.3,
C1,Q5,Fine woody debris,406.2,431.18,24.98,
C1,Q5,Herbaceous litter,35.92,35.98,0.06,
C1,Q4,Herbaceous litter,406.2,485.46,79.26,
C1,Q4,Fine woody debris,35.92,46.34,10.42,
R2,Q3,Bidens frondosa,406.2,418.05,11.85,
C1,Q5,Sicyos angulatus,406.2,407.05,0.85,
C3,Q5,Toxicodendron radicans,406.2,407.92,1.72,
C1,Q4,Toxicodendron radicans,406.2,408.44,2.24,
R3,Q1,Bidens frondosa,406.2,423.29,17.09,
A2,Q1,Persicaria pensylvanica,406.2,430.88,24.68,
D1,Q3,Herbaceous litter,406.2,493.63,87.43,
D1,Q3,Fine woody debris,35.92,36.61,0.69,
A2,Q1,Humulus japonicus,406.2,412.04,5.84,
A2,Q2,Fine woody debris,406.2,431.37,25.17,
A2,Q2,Phalaris arundinacea,406.2,436.57,30.37,
A2,Q3,Fine woody debris,406.2,445.17,38.97,
A2,Q3,Herbaceous litter,406.2,457.92,51.72,
A2,Q3,Fine woody debris,35.92,44.41,8.49,
A2,Q1,Phalaris arundinacea,406.2,407.98,1.78,
A2,Q1,Herbaceous litter,406.2,485.82,79.62,
A2,Q1,Fine woody debris,35.92,41.13,5.21,
A2,Q3,Pilea pumila,406.2,408.54,2.34,
A3,Q2,Phytolacca americana,406.2,407.61,1.41,
A3,Q4,Fine woody debris,406.2,409.86,3.66,
A2,Q4,Herbaceous litter,406.2,617.04,210.84,
A2,Q4,Fine woody debris,35.92,50.72,14.8,
A3,Q1,Herbaceous litter,406.2,478.39,72.19,
A3,Q1,Fine woody debris,35.92,38.35,2.43,
A2,Q5,Humulus japonicus,406.2,435.42,29.22,
A3,Q1,Vitis riparia,406.2,420.35,14.15,
A2,Q4,Rudbeckia laciniata,406.2,457.06,50.86,
A3,Q2,Herbaceous litter,406.2,476.15,69.95,
A3,Q2,Fine woody debris,406.2,416.07,9.87,
A3,Q1,Toxicodendron radicans,406.2,413.62,7.42,
A3,Q2,Sicyos angulatus,406.2,406.85,0.65,
A3,Q4,Herbaceous litter,406.2,473.3,67.1,
A3,Q4,Fine woody debris,35.92,41.38,5.46,
A3,Q4,Symphyotrichum ontarionisis,406.2,410.39,4.19,
A1,Q2,Herbaceous litter,406.2,432.58,26.38,
A1,Q2,Fine woody debris,35.92,36.57,0.65,
A1,Q4,Fine woody debris,406.2,438.35,32.15,
A1,Q2,Pilea pumila,406.2,408.21,2.01,
A2,Q5,Symphyotrichum ontarionisis,406.2,408.62,2.42,
A2,Q5,Herbaceous litter,406.2,446.11,39.91,
A2,Q5,Fine woody debris,406.2,418.57,12.37,
A2,Q2,Herbaceous litter,406.2,527.44,121.24,
A2,Q2,Fine woody debris,35.92,44.68,8.76,
A3,Q3,Persicaria punctata,406.2,407.8,1.6,
A3,Q3,Smilax tamnoides,406.2,407.44,1.24,
A3,Q3,Stachys palustris,406.2,439.32,33.12,
A3,Q3,Herbaceous litter,406.2,508.14,101.94,
A3,Q3,Fine woody debris,35.92,45.58,9.66,
A3,Q5,Herbaceous litter,406.2,476.74,70.54,
A3,Q5,Fine woody debris,35.92,40.73,4.81,
B2,Q2,Herbaceous litter,406.2,519.16,112.96,
B2,Q2,Fine woody debris,406.2,636.2,230,
B2,Q3,Herbaceous litter,406.2,483.89,77.69,
B2,Q3,Fine woody debris,406.2,490.12,83.92,
B2,Q4,Herbaceous litter,406.2,508.48,102.28,
B2,Q4,Fine woody debris,35.92,45.54,9.62,
B2,Q5,Fine woody debris,406.2,547.89,141.69,
B3,Q1,Herbaceous litter,406.2,457.66,51.46,
B3,Q1,Fine woody debris,35.92,40.84,4.92,
B3,Q2,Fine woody debris,406.2,424.71,18.51,
B3,Q2,Herbaceous litter,406.2,500.71,94.51,
B3,Q3,Fine woody debris,406.2,445.77,39.57,
B3,Q3,Herbaceous litter,35.92,36.17,0.25,
C1,Q3,Herbaceous litter,406.2,522.89,116.69,
C1,Q3,Fine woody debris,406.2,426.64,20.44,
C1,Q3,Herbaceous litter,35.92,36.01,0.09,
C2,Q2,Fine woody debris,406.2,541.19,134.99,
C2,Q2,Herbaceous litter,35.92,37.95,2.03,
C1,Q4,Fine woody debris,406.2,433.63,27.43,
C2,Q3,Herbaceous litter,406.2,466.3,60.1,
C2,Q3,Fine woody debris,35.92,43.06,7.14,
C3,Q1,Herbaceous litter,406.2,473.64,67.44,
C3,Q1,Fine woody debris,406.2,470.89,64.69,
C3,Q3,Herbaceous litter,406.2,478.66,72.46,
C3,Q3,Herbaceous litter,35.92,36.06,0.14,
C3,Q3,Fine woody debris,406.2,451.36,45.16,
C3,Q2,Herbaceous litter,406.2,528.7,122.5,
C3,Q2,Fine woody debris,35.92,46.18,10.26,
C3,Q4,Herbaceous litter,406.2,488.63,82.43,
C3,Q4,Fine woody debris,406.2,448.7,42.5,
C3,Q5,Herbaceous litter,406.2,448.39,42.19,
C3,Q5,Fine woody debris,406.2,440.32,34.12,
C3,Q5,Herbaceous litter,35.92,36.1,0.18,
C3,Q3,Laportea canadensis,406.2,406.56,0.36,
C3,Q4,Toxicodendron radicans,406.2,410.76,4.56,
C3,Q5,Symphyotrichum ontarionisis,406.2,420.49,14.29,
C3,Q2,Fine woody debris,406.2,466.77,60.57,
D1,Q1,Herbaceous litter,406.2,470.63,64.43,
D1,Q1,Fine woody debris,406.2,483.1,76.9,
D1,Q2,Herbaceous litter,406.2,543.6,137.4,
D1,Q2,Persicaria pensylvanica,406.2,410.88,4.68,
D1,Q2,Fine woody debris,35.92,37.12,1.2,
D1,Q3,Phalaris arundinacea,406.2,455.59,49.39,
D1,Q4,Humulus japonicus,406.2,419.97,13.77,
D1,Q5,Humulus japonicus,406.2,409.66,3.46,
D2,Q1,Fine woody debris,406.2,407.43,1.23,
D2,Q1,Pilea pumila,406.2,406.95,0.75,
D2,Q1,Symphyotrichum ontarionisis,406.2,407.06,0.86,
D2,Q1,Urtica gracilis,406.2,432.33,26.13,
D2,Q2,Erechtites hieraciifolius,406.2,409.38,3.18,
D2,Q2,Humulus japonicus,406.2,416.85,10.65,
D2,Q2,Herbaceous litter,406.2,438.91,32.71,
D2,Q2,Fine woody debris,35.92,41.44,5.52,
D2,Q4,Ulmus americana,406.2,414.74,8.54,
D2,Q4,Herbaceous litter,406.2,489.85,83.65,
D2,Q4,Fine woody debris,35.92,38.31,2.39,
D2,Q5,Herbaceous litter,406.2,525.71,119.51,
D2,Q5,Fine woody debris,35.92,36.39,0.47,
D3,Q2,Symphyotrichum ontarionisis,406.2,459.23,53.03,
D3,Q3,Sicyos angulatus,406.2,410.96,4.76,
D3,Q3,Herbaceous litter,406.2,457.15,50.95,
D3,Q3,Fine woody debris,35.92,58.44,22.52,
D3,Q4,Phalaris arundinacea,391.29,548.18,156.89,
D3,Q5,Persicaria pensylvanica,406.2,451.17,44.97,
E1,Q1,Herbaceous litter,406.2,568.66,162.46,
E1,Q1,Fine woody debris,35.92,65.78,29.86,
E3,Q3,Phalaris arundinacea,35.92,36.28,0.36,
E2,Q5,Herbaceous litter,406.2,483.92,77.72,
E3,Q5,Amaranthus tuberculatus,35.92,36.3,0.38,
E2,Q2,Chenopodium album,406.2,415.83,9.63,
E3,Q5,Herbaceous litter,406.2,473.07,66.87,
E3,Q5,Fine woody debris,35.92,39.71,3.79,
E3,Q3,Bidens frondosa,406.2,412.53,6.33,
E3,Q3,Persicaria pensylvanica,406.2,467.2,61,
E1,Q2,Humulus japonicus,406.2,440.89,34.69,
E2,Q4,Humulus japonicus,406.2,449.34,43.14,
E3,Q1,Phalaris arundinacea,406.2,448.8,42.6,
E1,Q4,Fallopia scandens,406.2,407.54,1.34,
E1,Q4,Humulus japonicus,406.2,407.9,1.7,
E2,Q2,Phalaris arundinacea,406.2,406.58,0.38,
E2,Q5,Humulus japonicus,406.2,421.3,15.1,
E2,Q3,Herbaceous litter,406.2,427.14,20.94,Forgot to transcribe after opening bag; E2 Q3 is best guess (initially E2 Q5)
E2,Q3,Fine woody debris,35.92,36.74,0.82,
E2,Q2,Herbaceous litter,406.2,458.78,52.58,
E2,Q2,Fine woody debris,35.92,42.51,6.59,
E2,Q4,Herbaceous litter,406.2,451.31,45.11,
E2,Q4,Fine woody debris,35.92,37.5,1.58,
E2,Q2,Pilea pumila,406.2,411.97,5.77,
E2,Q2,Fine woody debris,35.92,36.41,0.49,
E1,Q3,Herbaceous litter,406.2,500.71,94.51,
E1,Q3,Fine woody debris,35.92,36.52,0.6,
E1,Q3,Fallopia scandens,406.2,406.83,0.63,
E3,Q5,Acer saccharinum,406.2,407.19,0.99,
E3,Q4,Herbaceous litter,406.2,517.01,110.81,
E3,Q5,Erechtites hieraciifolius,406.2,406.51,0.31,
E3,Q4,Phalaris arundinacea,406.2,416.54,10.34,
E3,Q3,Herbaceous litter,406.2,484.85,78.65,
E3,Q3,Fine woody debris,35.92,38.14,2.22,
E2,Q5,Phalaris arundinacea,406.2,493.32,87.12,
E3,Q1,Herbaceous litter,406.2,509.85,103.65,
E3,Q1,Fine woody debris,35.92,36.15,0.23,
E3,Q2,Herbaceous litter,406.2,514.58,108.38,
E3,Q2,Fine woody debris,35.92,38.59,2.67,
E1,Q5,Herbaceous litter,406.2,571.49,165.29,
E1,Q5,Fine woody debris,35.92,37.92,2,
E3,Q2,Phalaris arundinacea,406.2,448.14,41.94,
E3,Q3,Humulus japonicus,406.2,412.17,5.97,
E3,Q5,Persicaria pensylvanica,406.2,454.92,48.72,
E1,Q3,Humulus japonicus,406.2,418.93,12.73,
E1,Q2,Herbaceous litter,406.2,569.43,163.23,
E1,Q2,Fine woody debris,35.92,36.5,0.58,
R3,Q3,Fine woody debris,406.2,487.89,81.69,
R3,Q3,Herbaceous litter,35.92,36,0.08,
R3,Q1,Toxicodendron radicans,406.2,406.59,0.39,
R2,Q1,Herbaceous litter,406.2,439.63,33.43,
R2,Q1,Fine woody debris,35.92,55.34,19.42,
R2,Q2,Symphyotrichum ontarionisis,406.2,407.65,1.45,
R2,Q3,Symphyotrichum ontarionisis,406.2,419.03,12.83,
R2,Q2,Bidens frondosa,406.2,425.54,19.34,
R3,Q2,Persicaria pensylvanica,406.2,425.57,19.37,
R2,Q5,Herbaceous litter,406.2,427.56,21.36,
R2,Q5,Fine woody debris,35.92,91.88,55.96,
R2,Q1,Phalaris arundinacea,406.2,410.79,4.59,
R2,Q4,Ulmus americana,406.2,411.93,5.73,
R2,Q4,Fine woody debris,35.92,68.01,32.09,
R2,Q4,Herbaceous litter,406.2,424.94,18.74,
E3,Q4,Persicaria pensylvanica,406.2,453.71,47.51,
E1,Q4,Herbaceous litter,406.2,530.56,124.36,
E1,Q4,Fine woody debris,35.92,36.38,0.46,
R2,Q3,Herbaceous litter,406.2,418.81,12.61,
R2,Q3,Fine woody debris,35.92,46.63,10.71,
R1,Q5,Ulmus americana,406.2,407.38,1.18,
R1,Q5,Acalypha rhomboidea,406.2,407.35,1.15,
R1,Q4,Leersia virginicia,406.2,423.97,17.77,
R1,Q4,Fine woody debris,406.2,420.35,14.15,
R1,Q4,Herbaceous litter,35.92,35.97,0.05,
R1,Q2,Morus alba,406.2,408.98,2.78,
R1,Q4,Vitis riparia,406.2,406.66,0.46,
R1,Q5,Fine woody debris,406.2,407.27,1.07,
R3,Q2,Bidens frondosa,406.2,407.98,1.78,
R1,Q4,Bidens frondosa,406.2,407.31,1.11,
R1,Q5,Toxicodendron radicans,406.2,409.6,3.4,
R1,Q1,Leersia virginicia,406.2,407.17,0.97,
R1,Q5,Lysimachia vulgaris,406.2,408.46,2.26,
R1,Q2,Fine woody debris,406.2,412.63,6.43,
R1,Q2,Herbaceous litter,35.92,36.03,0.11,
R1,Q3,Herbaceous litter,406.2,451.77,45.57,
R1,Q3,Fine woody debris,406.2,473.81,67.61,
R1,Q5,Herbaceous litter,406.2,430.62,24.42,
R1,Q5,Fine woody debris,35.92,37.08,1.16,
R1,Q3,Fine woody debris,406.2,889.6,483.4,
R1,Q3,Herbaceous litter,35.92,41.74,5.82,
R1,Q1,Herbaceous litter,406.2,414.29,8.09,
R1,Q1,Fine woody debris,35.92,46.3,10.38,
R1,Q2,Herbaceous litter,406.2,419.25,13.05,
R1,Q2,Fine woody debris,35.92,38.11,2.19,
R1,Q4,Herbaceous litter,406.2,439.18,32.98,
R1,Q4,Fine woody debris,35.92,41.44,5.52,
R3,Q4,Antenoron virginianum,406.2,411.71,5.51,
R3,Q4,Herbaceous litter,406.2,489.09,82.89,
R3,Q4,Fine woody debris,35.92,37.41,1.49,
E1,Q5,Phalaris arundinacea,406.2,547.98,141.78,
