Treatment,Plot,Quadrat,Trt_Plot_Quad,Elevation_Mean,VegHt_Mean,Shape_Length,Shape_Area
C,1,Q3,C-1-Q3,175.780453681945801,0.091630677226931,3.999938274715398,0.999969119375222
C,1,Q4,C-1-Q4,175.623901367187500,0.056388109922409,3.999938281597996,0.999969122816366
C,1,Q5,C-1-Q5,175.526832580566406,3.317754564806819,3.999938274715025,0.999969119375222
C,2,Q1,C-2-Q1,175.653321266174316,21.625792980194088,4.000121060287144,1.000060501920663
C,2,Q2,C-2-Q2,175.563408851623535,20.049783945083618,4.000121060287144,1.000060501920663
C,2,Q3,C-2-Q3,175.451592838062965,19.582004883710077,4.000121055911087,1.000060499732427
C,2,Q4,C-2-Q4,175.410962273092792,19.172137877520392,4.000121058306781,1.000060500930667
C,2,Q5,C-2-Q5,175.547451972961426,22.046419501304630,4.000121062682838,1.000060503118902
C,3,Q1,C-3-Q1,175.625514984130803,19.807086229324341,4.000233181242271,1.000116552343968
C,3,Q2,C-3-Q2,175.636793136596708,21.465010404586792,4.000233190871089,1.000116557158161
C,3,Q3,C-3-Q3,175.560796401079955,16.719389130087464,4.000233190871089,1.000116557158161
C,3,Q4,C-3-Q4,175.469573974609375,0.062035884927301,4.000233193278541,1.000116558361895
C,3,Q5,C-3-Q5,175.398633956909180,9.987554229563102,4.000233193278541,1.000116558361895
D,1,Q1,D-1-Q1,175.495831657858474,0.054326224195607,4.000271490416241,1.000135695735908
D,1,Q2,D-1-Q2,175.610858917236328,5.240665078163147,4.000271505705192,1.000135703380576
D,1,Q3,D-1-Q3,175.559005737304659,7.726885944604872,4.000271490416241,1.000135695735908
D,1,Q4,D-1-Q4,175.673645019531278,0.042492789380691,4.000271496190838,1.000135698623753
D,1,Q5,D-1-Q5,175.712125651041646,7.100025304158528,4.000271490416241,1.000135695735908
D,2,Q1,D-2-Q1,175.607831001281710,0.030480060726404,4.000159832771080,1.000079836451050
D,2,Q2,D-2-Q2,175.404118537902832,3.314896972384304,4.000159842350395,1.000079841239538
D,2,Q3,D-2-Q3,175.440716911764696,0.033886654192910,4.000159836263232,1.000079838197466
D,2,Q4,D-2-Q4,175.478287640739893,17.115987441119024,4.000159843447777,1.000079841788459
D,2,Q5,D-2-Q5,175.698318481445284,18.101210874669693,4.000159828380447,1.000079834255364
D,3,Q1,D-3-Q1,175.496518303366258,0.032093709882568,4.000159845842548,1.000079842985954
D,3,Q2,D-3-Q2,175.281108856201143,0.034671069355682,4.000159843447777,1.000079841788459
D,3,Q3,D-3-Q3,175.066216468811064,10.438277959823610,4.000159842350395,1.000079841239538
D,3,Q4,D-3-Q4,175.079210281372099,0.072390138637275,4.000159845842548,1.000079842985954
D,3,Q5,D-3-Q5,175.294125556945801,2.094742057379335,4.000159832771080,1.000079836451050
E,1,Q1,E-1-Q1,175.789904426125958,0.067414721583619,4.000341302433091,1.000170572978426
E,1,Q2,E-1-Q2,175.755142211914062,0.024384047836065,4.000341300329322,1.000170571926404
E,1,Q3,E-1-Q3,175.754203796386747,0.105156209319830,4.000341300846692,1.000170572185591
E,1,Q4,E-1-Q4,175.598332405090360,11.384111640509218,4.000341300846692,1.000170572185591
E,1,Q5,E-1-Q5,175.410923957824735,3.093345043249428,4.000341294017621,1.000170568771828
E,2,Q1,E-2-Q1,175.538036092122383,6.166319195429485,4.000327783208184,1.000163816456777
E,2,Q2,E-2-Q2,175.396788533528678,0.081889757017295,4.000327774910305,1.000163812306245
E,2,Q3,E-2-Q3,175.367019653320312,0.057912115007639,4.000327781072332,1.000163815388178
E,2,Q4,E-2-Q4,175.370594697840033,0.058987880892613,4.000327781072332,1.000163815388178
E,2,Q5,E-2-Q5,175.412410062902126,0.060422234894598,4.000327774910305,1.000163812306245
E,3,Q1,E-3-Q1,175.588149126838260,4.191187484956841,4.000247069284025,1.000123449731931
E,3,Q2,E-3-Q2,175.392315864562988,10.943484902381899,4.000247068226402,1.000123449203406
E,3,Q3,E-3-Q3,175.188480631510430,0.046736093113820,4.000247069284025,1.000123449731931
E,3,Q4,E-3-Q4,175.125356674194308,0.052959103137255,4.000247062043162,1.000123446113650
E,3,Q5,E-3-Q5,175.230020141601585,0.031292861948411,4.000247068226402,1.000123449203406
